Year,Month,Day,Variety,Rate,Unit,Rep,Height_cm,Sex
2023,June,14,IH Willaims,200,105,6,116,V (Vegative)
2023,June,14,IH Willaims,200,105,7,73,V (Vegative)
2023,June,14,IH Willaims,200,105,8,92,V (Vegative)
2023,June,14,IH Willaims,200,105,9,104,V (Vegative)
2023,June,14,IH Willaims,200,105,10,115,V (Vegative)
2023,June,14,IH Willaims,150,106,1,84,V (Vegative)
2023,June,14,IH Willaims,150,106,2,110,V (Vegative)
2023,June,14,IH Willaims,150,106,3,113,V (Vegative)
2023,June,14,IH Willaims,150,106,4,80,V (Vegative)
2023,June,14,IH Willaims,150,106,5,95,V (Vegative)
2023,June,14,IH Willaims,150,106,6,103,V (Vegative)
2023,June,14,IH Willaims,150,106,7,70,V (Vegative)
2023,June,14,IH Willaims,150,106,8,57,V (Vegative)
2023,June,14,IH Willaims,150,106,9,60,V (Vegative)
2023,June,14,IH Willaims,150,106,10,58,V (Vegative)
2023,June,14,IH Willaims,100,201,1,95,V (Vegative)
2023,June,14,IH Willaims,100,201,2,88,V (Vegative)
2023,June,14,IH Willaims,100,201,3,85,V (Vegative)
2023,June,14,IH Willaims,100,201,4,71,V (Vegative)
2023,June,14,IH Willaims,100,201,5,65,V (Vegative)
2023,June,14,IH Willaims,100,201,6,56,V (Vegative)
2023,June,14,IH Willaims,100,201,7,64,V (Vegative)
2023,June,14,IH Willaims,100,201,8,57,V (Vegative)
2023,June,14,IH Willaims,100,201,9,68,V (Vegative)
2023,June,14,IH Willaims,100,201,10,88,V (Vegative)
2023,June,14,IH Willaims,0,202,1,20,V (Vegative)
2023,June,14,IH Willaims,0,202,2,34,V (Vegative)
2023,June,14,IH Willaims,0,202,3,37,V (Vegative)
2023,June,14,IH Willaims,0,202,4,18,V (Vegative)
2023,June,14,IH Willaims,0,202,5,17,V (Vegative)
2023,June,14,IH Willaims,0,202,6,30,V (Vegative)
2023,June,14,IH Willaims,0,202,7,13,V (Vegative)
2023,June,14,IH Willaims,0,202,8,15,V (Vegative)
2023,June,14,IH Willaims,0,202,9,26,V (Vegative)
2023,June,14,IH Willaims,0,202,10,13,V (Vegative)
2023,June,14,IH Willaims,200,203,1,79,V (Vegative)
2023,June,14,IH Willaims,200,203,2,82,V (Vegative)
2023,June,14,IH Willaims,200,203,3,87,V (Vegative)
2023,June,14,IH Willaims,200,203,4,82,V (Vegative)
2023,June,14,IH Willaims,200,203,5,45,V (Vegative)
2023,June,14,IH Willaims,200,203,6,44,V (Vegative)
2023,June,14,IH Willaims,200,203,7,52,V (Vegative)
2023,June,14,IH Willaims,200,203,8,98,V (Vegative)
2023,June,14,IH Willaims,200,203,9,90,V (Vegative)
2023,June,14,IH Willaims,200,203,10,96,V (Vegative)
2023,June,14,IH Willaims,150,204,1,84,V (Vegative)
2023,June,14,IH Willaims,150,204,2,90,V (Vegative)
2023,June,14,IH Willaims,150,204,3,100,V (Vegative)
2023,June,14,IH Willaims,150,204,4,88,V (Vegative)
2023,June,14,IH Willaims,150,204,5,83,V (Vegative)
2023,June,14,IH Willaims,150,204,6,50,V (Vegative)
2023,June,14,IH Willaims,150,204,7,80,V (Vegative)
2023,June,14,IH Willaims,150,204,8,83,V (Vegative)
2023,June,14,IH Willaims,150,204,9,90,V (Vegative)
2023,June,14,IH Willaims,150,204,10,92,V (Vegative)
2023,June,14,IH Willaims,100,205,1,105,V (Vegative)
2023,June,14,IH Willaims,100,205,2,82,V (Vegative)
2023,June,14,IH Willaims,100,205,3,95,V (Vegative)
2023,June,14,IH Willaims,100,205,4,105,V (Vegative)
2023,June,14,IH Willaims,100,205,5,102,V (Vegative)
2023,June,14,IH Willaims,100,205,6,85,V (Vegative)
2023,June,14,IH Willaims,100,205,7,103,V (Vegative)
2023,June,14,IH Willaims,100,205,8,87,V (Vegative)
2023,June,14,IH Willaims,100,205,9,94,V (Vegative)
2023,June,14,IH Willaims,100,205,10,105,V (Vegative)
2023,June,14,IH Willaims,0,206,1,56,V (Vegative)
2023,June,14,IH Willaims,0,206,2,45,V (Vegative)
2023,June,14,IH Willaims,0,206,3,29,V (Vegative)
2023,June,14,IH Willaims,0,206,4,28,V (Vegative)
2023,June,14,IH Willaims,0,206,5,40,V (Vegative)
2023,June,14,IH Willaims,0,206,6,23,V (Vegative)
2023,June,14,IH Willaims,0,206,7,25,V (Vegative)
2023,June,14,IH Willaims,0,206,8,19,V (Vegative)
2023,June,14,IH Willaims,0,206,9,13,V (Vegative)
2023,June,14,IH Willaims,0,206,10,29,V (Vegative)
2023,June,14,IH Willaims,0,301,1,22,V (Vegative)
2023,June,14,IH Willaims,0,301,2,32,V (Vegative)
2023,June,14,IH Willaims,0,301,3,19,V (Vegative)
2023,June,14,IH Willaims,0,301,4,28,V (Vegative)
2023,June,14,IH Willaims,0,301,5,22,V (Vegative)
2023,June,14,IH Willaims,0,301,6,17,V (Vegative)
2023,June,14,IH Willaims,0,301,7,16,V (Vegative)
2023,June,14,IH Willaims,0,301,8,25,V (Vegative)
2023,June,14,IH Willaims,0,301,9,24,V (Vegative)
2023,June,14,IH Willaims,0,301,10,22,V (Vegative)
2023,June,14,IH Willaims,100,302,1,70,V (Vegative)
2023,June,14,IH Willaims,100,302,2,83,V (Vegative)
2023,June,14,IH Willaims,100,302,3,81,V (Vegative)
2023,June,14,IH Willaims,100,302,4,82,V (Vegative)
2023,June,14,IH Willaims,100,302,5,84,V (Vegative)
2023,June,14,IH Willaims,100,302,6,101,V (Vegative)
2023,June,14,IH Willaims,100,302,7,79,V (Vegative)
2023,June,14,IH Willaims,100,302,8,54,V (Vegative)
2023,June,14,IH Willaims,100,302,9,86,V (Vegative)
2023,June,14,IH Willaims,100,302,10,73,V (Vegative)
2023,June,14,IH Willaims,150,303,1,101,V (Vegative)
2023,June,14,IH Willaims,150,303,2,83,V (Vegative)
2023,June,14,IH Willaims,150,303,3,72,V (Vegative)
2023,June,14,IH Willaims,150,303,4,84,V (Vegative)
2023,June,14,IH Willaims,150,303,5,68,V (Vegative)
2023,June,14,IH Willaims,150,303,6,69,V (Vegative)
2023,June,14,IH Willaims,150,303,7,52,V (Vegative)
2023,June,14,IH Willaims,150,303,8,72,V (Vegative)
2023,June,14,IH Willaims,150,303,9,87,V (Vegative)
2023,June,14,IH Willaims,150,303,10,87,V (Vegative)
2023,June,14,IH Willaims,200,304,1,80,V (Vegative)
2023,June,14,IH Willaims,200,304,2,91,V (Vegative)
2023,June,14,IH Willaims,200,304,3,93,V (Vegative)
2023,June,14,IH Willaims,200,304,4,115,V (Vegative)
2023,June,14,IH Willaims,200,304,5,94,V (Vegative)
2023,June,14,IH Willaims,200,304,6,84,V (Vegative)
2023,June,14,IH Willaims,200,304,7,50,V (Vegative)
2023,June,14,IH Willaims,200,304,8,85,V (Vegative)
2023,June,14,IH Willaims,200,304,9,86,V (Vegative)
2023,June,14,IH Willaims,200,304,10,71,V (Vegative)
2023,June,14,IH Willaims,0,305,1,28,V (Vegative)
2023,June,14,IH Willaims,0,305,2,37,V (Vegative)
2023,June,14,IH Willaims,0,305,3,33,V (Vegative)
2023,June,14,IH Willaims,0,305,4,30,V (Vegative)
2023,June,14,IH Willaims,0,305,5,28,V (Vegative)
2023,June,14,IH Willaims,0,305,6,29,V (Vegative)
2023,June,14,IH Willaims,0,305,7,42,V (Vegative)
2023,June,14,IH Willaims,0,305,8,41,V (Vegative)
2023,June,14,IH Willaims,0,305,9,32,V (Vegative)
2023,June,14,IH Willaims,0,305,10,20,V (Vegative)
2023,June,14,IH Willaims,100,306,1,76,V (Vegative)
2023,June,14,IH Willaims,100,306,2,70,V (Vegative)
2023,June,14,IH Willaims,100,306,3,85,V (Vegative)
2023,June,14,IH Willaims,100,306,4,62,V (Vegative)
2023,June,14,IH Willaims,100,306,5,59,V (Vegative)
2023,June,14,IH Willaims,100,306,6,36,V (Vegative)
2023,June,14,IH Willaims,100,306,7,60,V (Vegative)
2023,June,14,IH Willaims,100,306,8,37,V (Vegative)
2023,June,14,IH Willaims,100,306,9,68,V (Vegative)
2023,June,14,IH Willaims,100,306,10,50,V (Vegative)
2023,June,14,IH Willaims,150,401,1,61,V (Vegative)
2023,June,14,IH Willaims,150,401,2,72,V (Vegative)
2023,June,14,IH Willaims,150,401,3,77,V (Vegative)
2023,June,14,IH Willaims,150,401,4,84,V (Vegative)
2023,June,14,IH Willaims,150,401,5,85,V (Vegative)
2023,June,14,IH Willaims,150,401,6,59,V (Vegative)
2023,June,14,IH Willaims,150,401,7,68,V (Vegative)
2023,June,14,IH Willaims,150,401,8,40,V (Vegative)
2023,June,14,IH Willaims,150,401,9,56,V (Vegative)
2023,June,14,IH Willaims,150,401,10,59,V (Vegative)
2023,June,14,IH Willaims,200,402,1,105,V (Vegative)
2023,June,14,IH Willaims,200,402,2,92,V (Vegative)
2023,June,14,IH Willaims,200,402,3,90,V (Vegative)
2023,June,14,IH Willaims,200,402,4,89,V (Vegative)
2023,June,14,IH Willaims,200,402,5,96,V (Vegative)
2023,June,14,IH Willaims,200,402,6,99,V (Vegative)
2023,June,14,IH Willaims,200,402,7,78,V (Vegative)
2023,June,14,IH Willaims,200,402,8,94,V (Vegative)
2023,June,14,IH Willaims,200,402,9,77,V (Vegative)
2023,June,14,IH Willaims,200,402,10,82,V (Vegative)
2023,June,14,IH Willaims,0,403,1,29,V (Vegative)
2023,June,14,IH Willaims,0,403,2,32,V (Vegative)
2023,June,14,IH Willaims,0,403,3,34,V (Vegative)
2023,June,14,IH Willaims,0,403,4,36,V (Vegative)
2023,June,14,IH Willaims,0,403,5,15,V (Vegative)
2023,June,14,IH Willaims,0,403,6,31,V (Vegative)
2023,June,14,IH Willaims,0,403,7,53,V (Vegative)
2023,June,14,IH Willaims,0,403,8,36,V (Vegative)
2023,June,14,IH Willaims,0,403,9,51,V (Vegative)
2023,June,14,IH Willaims,0,403,10,35,V (Vegative)
2023,June,14,IH Willaims,100,404,1,104,V (Vegative)
2023,June,14,IH Willaims,100,404,2,92,V (Vegative)
2023,June,14,IH Willaims,100,404,3,88,V (Vegative)
2023,June,14,IH Willaims,100,404,4,79,V (Vegative)
2023,June,14,IH Willaims,100,404,5,83,V (Vegative)
2023,June,14,IH Willaims,100,404,6,95,V (Vegative)
2023,June,14,IH Willaims,100,404,7,76,V (Vegative)
2023,June,14,IH Willaims,100,404,8,65,V (Vegative)
2023,June,14,IH Willaims,100,404,9,71,V (Vegative)
2023,June,14,IH Willaims,100,404,10,72,V (Vegative)
2023,June,14,IH Willaims,150,405,1,86,V (Vegative)
2023,June,14,IH Willaims,150,405,2,81,V (Vegative)
2023,June,14,IH Willaims,150,405,3,93,V (Vegative)
2023,June,14,IH Willaims,150,405,4,66,V (Vegative)
2023,June,14,IH Willaims,150,405,5,74,V (Vegative)
2023,June,14,IH Willaims,150,405,6,73,V (Vegative)
2023,June,14,IH Willaims,150,405,7,76,V (Vegative)
2023,June,14,IH Willaims,150,405,8,59,V (Vegative)
2023,June,14,IH Willaims,150,405,9,69,V (Vegative)
2023,June,14,IH Willaims,150,405,10,67,V (Vegative)
2023,June,14,IH Willaims,200,406,1,78,V (Vegative)
2023,June,14,IH Willaims,200,406,2,85,V (Vegative)
2023,June,14,IH Willaims,200,406,3,98,V (Vegative)
2023,June,14,IH Willaims,200,406,4,106,V (Vegative)
2023,June,14,IH Willaims,200,406,5,79,V (Vegative)
2023,June,14,IH Willaims,200,406,6,77,V (Vegative)
2023,June,14,IH Willaims,200,406,7,86,V (Vegative)
2023,June,14,IH Willaims,200,406,8,76,V (Vegative)
2023,June,14,IH Willaims,200,406,9,97,V (Vegative)
2023,June,14,IH Willaims,200,406,10,82,V (Vegattive)
